Unnamed: 0,"Name",|,"Floors",|.1,"Status",|.2,Year,|.3,"Drawings"
•,Lokha ndwal a  Miner va,,78,,built,,2023,,-2
•,World  One,,76,,built,,2020,,-3
•,World  View,,73,,built,,2020,,-3
•,The  Park  Tower  5,,78,,built,,2021,,
•,The  Park  Tower  1,,78,,built,,2020,,-1
•,Lodha  Parksi de,,78,,built,,2020,,-1
•,Lodha  Kiara,,78,,built,,2022,,-1
•,Lodha  Marqu ise,,76,,built,,2020,,-1
•,Trump  Tower  @ The  Park,,77,,built,,2021,,-2
•,One  Avigh na  Park,,64,,built,,2017,,-2
•,Natha ni  Heigh ts,,72,,built,,2020,,-1
•,Orchi d  Crow n  Tower  B,,69,,built,,2024,,-1
•,Orchi d  Crow n  Tower  A,,69,,built,,2024,,-1
•,The  Imperi al -  Tower  II,,60,,built,,2010,,-1
•,The  Imperi al -  Tower  I,,60,,built,,2010,,-1
•,"Ahuja  Tower s [1,  2]",,54,,built,,2016,,-1
•,Omka r Alta  Monte  Tower  D,,62,,built,,2020,,
•,Celest ia  Space s A &  B,,63,,built,,2022,,
•,Auris  Sereni ty  Tower  3,,69,,built,,2023,,-1
•,Auris  Sereni ty  Tower  2,,69,,built,,2022,,-1
•,Auris  Sereni ty  Tower  1,,69,,built,,2021,,-1
•,Cresc ent  Bay -  Tower  6,,64,,built,,2019,,
•,Rahej a  Artesi a,,60,,built,,2023,,
•,Salset te 27  Tower  B,,65,,built,,2023,,
•,Salset te 27  Tower  A,,65,,built,,2023,,
•,Two  ICC,,68,,built,,2019,,-1
•,World  Crest,,57,,built,,2017,,-3
•,Indiab ulls  Sky  Forest,,80,,built,,2023,,-1
•,Omka r Alta  Monte  Tower  C,,63,,built,,2017,,
•,Lodha  Venezi a  Tower  B,,68,,built,,2022,,-2
•,Lodha  Venezi a A,,68,,built,,2018,,-2
•,Obero i  Skycit y  Tower  D,,67,,built,,2021,,-1
•,Obero i  Skycit y  Tower  C,,67,,built,,2021,,-1
•,Obero i  Skycit y  Tower  B,,67,,built,,2021,,-1
•,Obero i  Skycit y  Tower  A,,67,,built,,2021,,-1
•,Orchi d  Encla ve,,56,,built,,2017,,-2
•,Lodha  Belliss imo,,53,,built,,2011,,-1
•,Obero i  Skycit y  Tower  E,,67,,built,,2022,,-1
•,Cresc ent  Bay -  Tower  5,,61,,built,,2018,,
•,Omka r Alta  Monte  Tower  B,,58,,built,,2021,,
•,Kohin oor  Squar e  Tower  1,,49,,built,,2019,,
•,Obero i  Enigm a 2,,69,,built,,2023,,
•,Obero i  Enigm a 1,,69,,built,,2023,,
•,Obero i  Eterni a 2,,70,,built,,2023,,
•,Obero i  Eterni a 1,,70,,built,,2023,,
•,Alpine  [2],,63,,built,,2019,,
•,Alpine  [1],,63,,built,,2019,,
•,Four  Seaso ns  Privat e  Resid ences,,55,,built,,2021,,-1
•,Indiab ulls  Sky,,48,,built,,2016,,-1
•,Vivare a 3,,45,,built,,2012,,-1
•,Vivare a 2,,45,,built,,2012,,-1
•,Vivare a 1,,45,,built,,2012,,-1
•,Wadh wa  W54,,44,,built,,2017,,-1
•,One  ICC,,59,,built,,2019,,-1
•,Ariisto  Siesta,,54,,built,,2018,,
•,Kalpat aru  Avana,,49,,built,,2021,,
•,Iora,,51,,built,,2023,,
•,Altam ount  Road  Lodha  Projec t,,43,,built,,2018,,
•,Ariisto  Som met,,50,,built,,2018,,
•,Rahej a  Vivare a 4,,45,,built,,2018,,
•,Ashok  Tower s I,,53,,built,,2010,,-1
•,Ruby  Mills,,38,,built,,2013,,
•,Cresc ent  Bay -  Tower  4,,56,,built,,2018,,
•,Rahej a  Imperi a 1,,51,,built,,2020,,
•,DB  Wood s  Tower  3,,54,,built,,2013,,-1
•,DB  Wood s  Tower  2,,54,,built,,2013,,-1
•,DB  Wood s  Tower  1,,54,,built,,2013,,-1
•,One  Indiab ulls  Blu C,,53,,built,,2019,,-1
•,Lodha  Prime ro,,52,,built,,2014,,
•,Lodha  Fioren za  Milan o,,52,,built,,2018,,
•,One  Indiab ulls  Blu B,,50,,built,,2019,,-1
•,Cresc ent  Bay -  Tower  3,,54,,built,,2021,,
•,The  Imperi al  Edge,,51,,built,,2021,,
•,Urmi  Estate,,45,,built,,2014,,
•,Obero i  Esquir e C,,57,,built,,2018,,-1
•,Obero i  Esquir e B,,57,,built,,2018,,-1
•,Obero i  Esquir e A,,57,,built,,2018,,-1
•,Planet  Godre j,,51,,built,,2009,,-1
•,Omka r Alta  Monte  Tower  A,,53,,built,,2015,,
•,Ajmer a  Aeon,,49,,built,,2019,,
•,Ajmer a  Zeon  2,,41,,built,,2017,,
•,Ajmer a  Zeon  1,,41,,built,,2017,,
•,Sunsh ine  Tower,,40,,built,,2011,,-1
•,RA  Resid ence  Tower  B,,50,,built,,,,-1
•,RA  Resid ence  Tower  A,,50,,built,,,,-1
•,Victori an,,48,,built,,2016,,
•,Victori a,,47,,built,,2014,,
•,Resid ence  Antilia,,27,,built,,2010,,-1
•,Cresc ent  Bay -  Tower  2,,50,,built,,2019,,
•,Splen dour,,47,,built,,2009,,
•,Obero i  Exqui site  Tower  C,,50,,built,,2014,,-1
•,Obero i  Exqui site  Tower  B,,50,,built,,2014,,-1
•,Obero i  Exqui site  Tower  A,,50,,built,,2014,,-1
•,Four  Seaso ns  Servic ed  Apart ments,,48,,built,,2021,,
•,Obero i  Wood s  Tower  III,,40,,built,,2007,,-2
•,Obero i  Wood s  Tower  II,,40,,built,,2007,,-2
•,Obero i  Wood s  Tower  I,,40,,built,,2007,,-2
•,One  Indiab ulls  Blu A,,46,,built,,2019,,-1
•,Cresc ent  Bay -  Tower  1,,48,,built,,2018,,
•,Marat hon  Future x,,38,,built,,2014,,
•,Sunte ck  City  Avenu e 1  Tower  3,,45,,built,,2021,,
•,Sunte ck  City  Avenu e 1  Tower  2,,45,,built,,2021,,
•,Sunte ck  City  Avenu e 1  Tower  1,,45,,built,,2021,,
•,Aquari a  Grand e  Tower  B,,42,,built,,2016,,
•,Aquari a  Grand e  Tower  A,,42,,built,,2014,,
•,Shree pati  Arcad e,,45,,built,,2000,,-2
•,Sarvo daya  Heigh ts,,42,,built,,2012,,
•,Tabre z  Tower,,45,,built,,2008,,-1
•,Tirum ala  Habit ats,,44,,built,,2017,,
•,RNA  Mirag e,,41,,built,,2009,,-1
•,Centr al  Park,,42,,built,,2008,,
•,World  Trade  Cente r  Tower  1,,36,,built,,1970,,-1
•,Shang ri-La  Hotel,,45,,built,,2012,,
•,Rivali  Park  Winter green  D,,44,,built,,2021,,
•,Rivali  Park  Winter green  A,,44,,built,,2021,,
•,Bismil lah  Heigh ts,,42,,built,,2018,,
•,Magn um  Tower  1,,44,,built,,2017,,
•,Vasan t  Polari s,,40,,built,,2007,,
•,Rahej a  Excel sior,,43,,built,,2011,,
•,Le  Palaz zo,,46,,built,,2013,,
•,Runw al  Green s  Rose wood,,41,,built,,2015,,
•,Runw al  Green s  Pinew ood,,41,,built,,2015,,
•,Runw al  Green s  Oakw ood,,41,,built,,2015,,
•,Runw al  Green s  Maple,,41,,built,,2015,,
•,Runw al  Green s  Cypre ss,,41,,built,,2016,,
•,Runw al  Green s  Cedar,,41,,built,,2015,,
•,Belve dere  Court,,40,,built,,2000,,-1
•,Kanak ia  Levels  Platin o,,41,,built,,2010,,
•,Shree pati  Jewel s  Ruby,,40,,built,,2008,,
•,JK  House,,36,,built,,2015,,
•,Lodha  Imperi a,,42,,built,,2011,,
•,Obero i Spas  Tower  III,,40,,built,,2008,,-1
•,Obero i Spas  Tower  II,,40,,built,,2008,,-1
•,Obero i Spas  Tower  I,,40,,built,,2008,,-1
•,Kalpat aru  Heigh ts,,39,,built,,2000,,-1
•,Radis son  Blu  Plaza  Hotel,,35,,built,,2016,,
•,Obero i  Com merz  II,,35,,built,,2014,,
•,Epsilo n  Tower s B,,44,,built,,2023,,
•,Epsilo n  Tower s A,,44,,built,,2021,,
•,Romel l  Aethe r,,42,,built,,2020,,
•,Bhoo mi  Celest ia  Tower  B,,39,,built,,2024,,
•,Bhoo mi  Celest ia  Tower  A,,39,,built,,2021,,
•,JP  Decks,,44,,built,,2019,,-1
•,Rajes h  Lifesc apes  White  City 2,,42,,built,,2021,,
•,Rajes h  Lifesc apes  White  City 1,,42,,built,,2021,,
•,Kalpat aru  Tower s B,,34,,built,,,,-1
•,The  Wadh wa  Atmos phere  Tower  C,,44,,built,,2019,,-1
•,The  Wadh wa  Atmos phere  Tower  B,,44,,built,,2019,,-1
•,The  Wadh wa  Atmos phere  Tower  A,,44,,built,,2019,,-1
•,Imperi al  Heigh ts  Tower  D,,44,,built,,2019,,
